"Campaign Name","Business Objective","Target Audience","Key Message","Channels","Budget","Timeline","Success Metrics","Constraints / Brand Notes"
"TerraNomad v4 - Launch","Acquire 79,395 new users within the launch window","Loyalty members with 1+ booking in last 24 months, Australia (EU coverage)","Meet Skyloft Hotels: everything you loved, reimagined.","Email, Display, Paid Search, Connected TV","$160,000 total","Feb 25, 2026 - 3 week flight","New sign-ups: target 18,429 over the campaign flight; CPA <= $200.","DACH market: double opt-in for email; no purchased lists. Avoid stacking with seasonal sale; cap combined discount at agreed max."
"RetailNext World ANZ - Event Reg Push","Register 2,273 attendees","general consumers","Register now - early bird pricing ends soon.","social and email","To be confirmed by CMO","Apr 2, 2026 - 12 week flight","Improve CTR vs. last campaign","No competitor logos or comparison claims in paid creative. Mobile-first creative required; desktop is secondary."
"SyncSuite US - Upsell Wave","Lift ARPU by 23% across the existing book of business","CFOs at SMBs with $10M-$100M revenue in Mexico","Ready for the next tier? Here's what's waiting.","Paid Social (LinkedIn), Paid Search, Webinar","$32,000 (media only)","Mar 21, 2026 - 3 week flight","ARPU lift: baseline $80, target +14.5%, over 30 days.","Adhere to brand voice guidelines v3.2; primary palette only."
"Northstar Mutual Spring - Cross-sell Drive","Cross-sell 34,295 eligible customers","Auto policyholders approaching renewal, aged 45-54, Nordics","Bundle and save - smarter together.","Email, Radio, Direct Mail, Display, Paid Search","$410,000 incl. agency fees","Mar 19, 2026 - 12 week flight","Attach rate: baseline 1.4%, target 5.1%, over 30 days.","All quotes must include 'subject to underwriting' language. UK/EU: lawful basis must be documented; suppress contacts without marketing consent. Adhere to brand voice guidelines v3.2; primary palette only. Subject lines under 50 characters; no emojis in B2B sends."
"PayLane v8 - Loyalty Boost","Lift repeat purchase rate from 6% to 11%","Gig workers aged 40-34 in Benelux tier-1 cities","Your loyalty, rewarded.","In-app, Email","$410,000","Apr 16, 2026 - 4 week flight","Hit 4,534 sign-ups","No misleading earnings or returns language. Members-only pricing must remain materially better than public promo. Adhere to brand voice guidelines v3.2; primary palette only. Subject lines under 50 characters; no emojis in B2B sends."
"FutureStack Conference Q3 2026 - Launch","Acquire 365,698 new users within the launch window","Speakers, sponsors, and partner network contacts, Nordics (EU coverage)","Introducing the next generation of RetailNext World - faster, smarter, built for your team.","Organic Social, Webinar, Email, Paid Social (LinkedIn)","$89,000 excl. production","Aug 11, 2027 - 3 week flight","New sign-ups: target 5,111 by end of quarter; CPA <= $77.","UK/EU: lawful basis must be documented; suppress contacts without marketing consent. CEO and executive quotes require Comms approval. No animated GIFs in email; static hero only."
"BrightArc University - Renewal Drive","Renew 4,993 expiring contracts this cycle","our customer base","Stay covered. Stay supported.","YouTube, Paid Social (Meta), Webinar, Paid Search, Email","$60,000","Sep 4, 2026 - 12 week flight","Gross renewal rate: baseline 83.1%, target 87.9%, over 60 days.","Title IV compliance review required for any financial-aid messaging."
"LearnRise Academy Holiday - Renewal Drive","Achieve 90% gross renewal rate","general consumers","Renew today and lock in your current rate.","YouTube, Paid Social (Meta)","Pending finance approval","Sep 19, 2026 - 8 week flight","Gross renewal rate: baseline 84.0%, target 89.7%, by end of quarter.","Outcome claims (placement, salary) must include cohort source citation. Tone: confident, helpful, never alarmist."
"FitFuel v3 - Retention Sprint","Improve 90-day retention by 72 percentage points","Annual plan subscribers approaching renewal, Mexico","Here's what's new, just for you.","Push Notifications, Email, Paid Social (Meta), In-app","Limited budget","Jan 17, 2026 - 12 week flight","Monthly churn: baseline 1.6%, target 1.0%, over 30 days.","All copy must use inclusive language per brand DEI guidelines."
"NimbusCRM - Lead Gen #2","Generate 6,540 MQLs at CPL under $79","IT decision-makers at mid-market firms (France), SaaS verticals","See why leading teams choose DataPilot - book a 20-minute demo.","Email, Content Syndication, Paid Search, Webinar, Account-Based Marketing","$83,000","Oct 16, 2026 - 8 week flight","SQL conversion: baseline 2.2%, target 21.4%, over the campaign flight.","CEO and executive quotes require Comms approval. Video assets capped at 15s for social, 30s for CTV."
"FutureStack Conference - Event Reg Push #3","Register 12,860 attendees","Practitioners and decision-makers in target verticals, Germany","FutureStack Conference: where the industry connects.","Webinar, Organic Social, Email","$100,000","Nov 8, 2026 - 6 week flight","Registrations: target 10,526; show-up rate >= 53%; over the campaign flight.","Use approved product photography only; lifestyle imagery requires brand review."
"Edulane 2027 - App Adoption","Lift weekly active users by 7%","millennials","Faster, easier, in-app exclusive perks.","YouTube, Email, Webinar, Paid Search, Paid Social (Meta)","$21,000","May 15, 2026 - 8 week flight","Conversion rate target 13.6%","Title IV compliance review required for any financial-aid messaging. Tone: confident, helpful, never alarmist."
"GlideFi - Lead Gen","Deliver 2,234 SQLs to the sales team","Active app users with 30+ day inactivity, Nordics","See why leading teams choose GlideFi - book a 20-minute demo.","In-app, Push Notifications, Email, Influencer","Pending finance approval","Jun 19, 2026 - 10 week flight","MQLs: target 7,493, CPL <= $187, measured over the campaign flight.","Required disclosures on rates, fees, and partner bank relationship. Adhere to brand voice guidelines v3.2; primary palette only."
"Lumio Wallet 2026 - Lead Gen","Generate 6,681 MQLs at CPL under $154","Gig workers aged 35-54 in Canada tier-1 cities","See why leading teams choose Lumio Wallet - book a 20-minute demo.","social","TBD","Jul 19, 2026 - 10 week flight","MQLs: target 7,592, CPL <= $261, measured over the campaign flight.","All claims must be reviewed by Compliance and Legal before publication."
"Helix Advisory NA - Awareness","Lift unaided brand awareness by 20 points","our customer base","Meet Forge Accounting - a smarter way to save time.","PR, Email","$31,000","Mar 10, 2027 - 4 week flight","Conversion rate target 14.5%","Localization required for non-English markets; transcreation, not direct translation. Landing page must load under 2.5s on 4G."
"ScholarPath Q3 2026 - Event Reg Push","Register 16,475 attendees","High school juniors and parents in India","Register now - early bird pricing ends soon.","Paid Social (Meta), YouTube","$70,000 (media only)","Jun 13, 2027 - 2 week flight","Registrations: target 4,047; show-up rate >= 70%; over the campaign flight.","FERPA-aligned data handling; no student PII in third-party platforms. Do not reference unannounced roadmap items. No animated GIFs in email; static hero only."
"OakClinic Network 2026 - Launch","Acquire 661,633 new users within the launch window","Adults aged 25-44 with chronic condition flags, EMEA","Introducing the next generation of MediBridge - faster, smarter, built for your team.","PR, Display, Paid Search","$665,000 incl. agency fees","Aug 25, 2026 - 10 week flight","Baseline 1.7%, improve over time","All medical claims must be reviewed by Medical Legal Review (MLR) before launch. Video assets capped at 15s for social, 30s for CTV."
"Helix Advisory Q1 2026 - Lead Gen","Generate 2,033 MQLs at CPL under $170","enterprise customers","Find out what Northbeam Consulting can do for your business.","Webinar, Content Syndication, Email, PR","Not specified","Aug 18, 2026 - 4 week flight","SQL conversion: baseline 3.0%, target 11.8%, by end of quarter.","Do not reference unannounced roadmap items."
"Skyloft Hotels 2027 - Event Reg Push","Hit 12% RSVP-to-attend conversion","Loyalty members with 1+ booking in last 24 months, Canada (EU coverage)","Register now - early bird pricing ends soon.","performance marketing","$285,000","Nov 20, 2026 - 4 week flight","Registrations: target 9,148; show-up rate >= 61%; over the campaign flight.","DACH market: double opt-in for email; no purchased lists. Do not reference unannounced roadmap items. Video assets capped at 15s for social, 30s for CTV."
"GrowthSummit 2027 - Event Reg Push","Register 16,283 attendees","Speakers, sponsors, and partner network contacts, Brazil","Register now - early bird pricing ends soon.","Paid Social (LinkedIn), Email, PR","$88,000","ASAP","Registrations: target 12,642; show-up rate >= 66%; over 30 days.","No competitor logos or comparison claims in paid creative."
"DevForge Live MENA - Event Reg Push","Register 21,011 attendees","Practitioners and decision-makers in target verticals, Benelux","Save your seat at InsureCon.","Organic Social, PR, Webinar","$86,000 (media only)","Jun 23, 2027 - 10 week flight","Registrations: target 7,743; show-up rate >= 69%; over the campaign flight.","Subject lines under 50 characters; no emojis in B2B sends."
"Quanta Reports Q3 2027 - App Adoption","Lift weekly active users by 25%","Marketing operations managers at B2B SaaS companies, UK (EU coverage)","Your account, in your pocket.","social and email","$215,000 (media only)","Jul 16, 2026 - 2 week flight","Installs: target 11,044; D7 retention >= 33%; over the campaign flight.","DACH market: double opt-in for email; no purchased lists. Use approved product photography only; lifestyle imagery requires brand review. Landing page must load under 2.5s on 4G."
"Voyage&Co Cyber Monday - Upsell Wave","Lift ARPU by 11% across the existing book of business","Business travelers aged 30-55, Nordics","Ready for the next tier? Here's what's waiting.","Email, Display","$225,000 total","Oct 25, 2026 - 4 week flight","ARPU lift: baseline $65, target +17.8%, within 90 days post-launch.","Adhere to brand voice guidelines v3.2; primary palette only."
"Velocity Wireless - Lead Gen","Move the needle on conversions this quarter","Postpaid customers approaching contract end, Japan (EU coverage)","Get the playbook trusted by 500+ teams.","social and email","$590,000","Feb 25, 2026 - 12 week flight","Conversion rate target 9.9%",""
"VivaHealth Q4 2026 - Lead Gen","Generate 4,905 MQLs at CPL under $199","Patients overdue for annual wellness visit, France","Find out what CareNova can do for your business.","online","$67,000 total","Nov 9, 2026 - 12 week flight","MQLs: target 3,616, CPL <= $296, measured over the campaign flight.","All medical claims must be reviewed by Medical Legal Review (MLR) before launch. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. Do not reference unannounced roadmap items. Video assets capped at 15s for social, 30s for CTV."
"FiberOne 2026 - Seasonal Promo","Lift conversion rate by 10% vs. prior season baseline","Single-line subscribers eligible for family-plan upgrade, Nordics (EU coverage)","Our biggest Cyber Monday event yet.","social","Pending finance approval","soon","Incremental revenue: target $1,973,900, ROAS >= 7.4, over 60 days.","TBD with Legal."
"Stackr v8 - Trial Conversion Push","Convert 14,167 active trial users to paid plans","First-time investors aged 25-40 in France","Don't lose what you've built - upgrade today and keep your momentum.","Paid Social (Meta), In-app, Influencer, Push Notifications","$250,000 excl. production","May 9, 2027 - 10 week flight","Trial-to-paid conversion: baseline 1.9%, target 2.1%, by end of quarter.","No misleading earnings or returns language. DACH market: double opt-in for email; no purchased lists. CEO and executive quotes require Comms approval."
